id,referencia,marca,capacidad,ciudad,responsable
3939,ACH01,Sony,1996,Sabaneta,Sonia Yepes
6264,ACH22,Rico,1771,Itagui,Santiago Yepes
5830,ACH43,Sony,1979,Itagui,Tattiana Yepes
9045,ACH22,Kalley,284,Bello,Wilson Yepes
1354,ACH01,Sony,1821,Itagui,Santiago Yepes
948,ACH22,Kalley,642,Medellin,Wilson Yepes
7859,ACH43,Sony,439,Medellin,Tattiana Yepes
4453,ACH22,Rico,602,Sabaneta,Mauro Yepes
5506,ACH22,Sony,1569,Bello,Mauro Yepes
6331,ACH01,Sony,1087,Medellin,Mauro Yepes
4285,ACH43,Kalley,244,Itagui,Wilson Yepes
8752,ACH22,Rico,469,Niquia,Mauro Yepes
6358,ACH43,Kalley,785,Medellin,Wilson Yepes
6729,ACH43,Rico,1612,Bello,Wilson Yepes
9592,ACH43,Kalley,1565,Sabaneta,Wilson Yepes
2034,ACH43,Rico,1034,Itagui,Sonia Yepes
4681,ACH43,Sony,112,Itagui,Wilson Yepes
9949,ACH43,Rico,945,Medellin,Tattiana Yepes
6281,ACH43,Sony,872,Bello,Mauro Yepes
9205,ACH01,Rico,1235,Niquia,Santiago Yepes
3977,ACH43,Sony,1268,Niquia,Mauro Yepes
9555,ACH43,Sony,1430,Medellin,Wilson Yepes
4187,ACH43,Sony,1267,Niquia,Tattiana Yepes
1540,ACH43,Kalley,604,Bello,Sonia Yepes
9937,ACH01,Kalley,978,Sabaneta,Mauro Yepes
5397,ACH22,Kalley,800,Niquia,Wilson Yepes
8819,ACH22,Sony,1383,Sabaneta,Wilson Yepes
3252,ACH43,Kalley,1096,Itagui,Tattiana Yepes
527,ACH22,Kalley,1284,Medellin,Santiago Yepes
6614,ACH22,Sony,1251,Itagui,Sonia Yepes
4412,ACH43,Rico,467,Niquia,Sonia Yepes
387,ACH43,Sony,1661,Bello,Mauro Yepes
8088,ACH43,Kalley,1652,Bello,Santiago Yepes
2690,ACH43,Sony,285,Medellin,Sonia Yepes
3768,ACH22,Rico,372,Itagui,Santiago Yepes
891,ACH43,Kalley,296,Medellin,Mauro Yepes
465,ACH01,Sony,578,Bello,Tattiana Yepes
5900,ACH43,Rico,419,Niquia,Mauro Yepes
4471,ACH22,Kalley,562,Medellin,Santiago Yepes
7252,ACH43,Kalley,265,Niquia,Sonia Yepes
3001,ACH22,Sony,1045,Sabaneta,Tattiana Yepes
8666,ACH43,Rico,101,Itagui,Wilson Yepes
7512,ACH22,Sony,1872,Sabaneta,Mauro Yepes
9695,ACH22,Sony,558,Sabaneta,Sonia Yepes
6167,ACH22,Kalley,345,Itagui,Wilson Yepes
6232,ACH01,Sony,1339,Bello,Sonia Yepes
4957,ACH01,Kalley,328,Niquia,Tattiana Yepes
2524,ACH43,Kalley,1289,Bello,Wilson Yepes
3702,ACH43,Kalley,465,Sabaneta,Mauro Yepes
1519,ACH01,Kalley,1430,Itagui,Wilson Yepes
9218,ACH01,Sony,1004,Itagui,Sonia Yepes
6987,ACH22,Rico,520,Medellin,Wilson Yepes
6703,ACH43,Rico,1764,Niquia,Sonia Yepes
3224,ACH22,Rico,1377,Itagui,Wilson Yepes
3809,ACH43,Kalley,1349,Medellin,Tattiana Yepes
7688,ACH22,Kalley,1641,Bello,Wilson Yepes
5012,ACH43,Rico,978,Bello,Tattiana Yepes
8620,ACH01,Rico,1528,Bello,Mauro Yepes
8475,ACH01,Sony,1277,Bello,Sonia Yepes
3718,ACH43,Sony,1840,Medellin,Sonia Yepes
859,ACH43,Sony,857,Itagui,Santiago Yepes
4119,ACH22,Kalley,1061,Itagui,Wilson Yepes
6139,ACH22,Rico,260,Itagui,Mauro Yepes
9047,ACH01,Sony,1258,Sabaneta,Mauro Yepes
8574,ACH01,Kalley,1216,Bello,Santiago Yepes
3742,ACH43,Sony,572,Bello,Tattiana Yepes
6715,ACH01,Sony,594,Medellin,Mauro Yepes
7135,ACH43,Rico,1094,Sabaneta,Santiago Yepes
4822,ACH43,Kalley,873,Bello,Mauro Yepes
665,ACH43,Sony,1539,Medellin,Sonia Yepes
2603,ACH43,Rico,454,Sabaneta,Wilson Yepes
8298,ACH43,Rico,1038,Bello,Sonia Yepes
6481,ACH22,Sony,348,Sabaneta,Sonia Yepes
3759,ACH43,Sony,791,Itagui,Wilson Yepes
915,ACH22,Sony,164,Sabaneta,Wilson Yepes
6523,ACH22,Kalley,379,Itagui,Tattiana Yepes
5251,ACH01,Rico,1470,Medellin,Sonia Yepes
1352,ACH22,Sony,1854,Itagui,Tattiana Yepes
4522,ACH01,Sony,668,Niquia,Mauro Yepes
275,ACH22,Rico,569,Bello,Sonia Yepes
7902,ACH22,Rico,774,Bello,Santiago Yepes
158,ACH43,Rico,253,Sabaneta,Mauro Yepes
1799,ACH43,Kalley,1112,Medellin,Tattiana Yepes
9153,ACH01,Sony,1226,Bello,Sonia Yepes
4273,ACH22,Kalley,133,Niquia,Santiago Yepes
